first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Age
Marinna,Kauschke,Female,21,15/03/1973,Sales Associate,Financial Services,Affluent Customer,N,Yes,8,9 Forster Circle,3174,VIC,Australia,3,44
Olia,O' Mullan,Female,77,24/03/1973,Account Executive,Health,Mass Customer,N,No,8,6315 Mendota Parkway,2263,NSW,Australia,7,44
Brigitte,Whellams,Female,67,09/05/1973,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,44
Ivy,Farr,Female,56,03/07/1973,Office Assistant IV,IT,High Net Worth,N,No,19,08470 Kingsford Lane,2120,NSW,Australia,11,44
Beverlee,Ungerechts,Female,49,03/10/1973,Civil Engineer,Manufacturing,Mass Customer,N,No,8,602 Toban Center,4020,QLD,Australia,7,44
Skipp,Swales,Male,15,14/11/1973,Community Outreach Specialist,Entertainment,High Net Worth,N,Yes,22,76 Green Ridge Drive,3029,VIC,Australia,7,44
Leighton,Firbanks,Male,51,22/12/1973,Teacher,Retail,Affluent Customer,N,No,21,7234 Sycamore Pass,4178,QLD,Australia,3,44
Claudetta,Ricciardiello,Female,61,30/04/1974,Internal Auditor,Financial Services,Mass Customer,N,Yes,21,31 Schurz Parkway,3181,VIC,Australia,8,43
Harland,Messenger,Male,90,28/05/1974,Software Test Engineer I,Retail,Mass Customer,N,No,8,27 Crownhardt Center,3934,VIC,Australia,10,43
Babara,Sissel,Female,50,08/06/1974,,IT,Mass Customer,N,Yes,21,5 Ohio Road,3169,VIC,Australia,10,43
Cariotta,,Female,10,19/08/1974,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,2336 Continental Point,2527,NSW,Australia,7,43
Ardelis,Forrester,Female,10,28/08/1974,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5 Colorado Crossing,3505,VIC,Australia,5,43
Fredia,Favelle,Female,94,29/08/1974,Teacher,n/a,Mass Customer,N,Yes,19,4 Arapahoe Terrace,4014,QLD,Australia,8,43
Rodolphe,Glenton,Male,88,28/09/1974,Programmer Analyst II,Financial Services,Affluent Customer,N,No,11,4787 Golf Terrace,3163,VIC,Australia,7,43
Lillis,Eshmade,Female,50,12/10/1974,Structural Analysis Engineer,Financial Services,Mass Customer,N,Yes,22,46057 Harbort Hill,4304,QLD,Australia,2,43
Link,Gorini,Male,60,09/11/1974,,IT,High Net Worth,N,No,10,9495 Jenna Way,4600,QLD,Australia,2,43
Mandie,MacAdie,Female,39,25/12/1974,Chief Design Engineer,Telecommunications,High Net Worth,N,No,13,1009 Roxbury Point,2110,NSW,Australia,11,43
Martino,Scoles,Male,18,19/01/1975,Senior Financial Analyst,Financial Services,Mass Customer,N,No,14,47 Scofield Junction,3620,VIC,Australia,4,42
Elvira,Darthe,Female,10,08/04/1975,Accounting Assistant I,Financial Services,Affluent Customer,N,No,16,89 Green Ridge Point,2168,NSW,Australia,9,42
Mikol,Eck,Male,99,25/07/1975,VP Marketing,Financial Services,Mass Customer,N,Yes,21,15621 Twin Pines Crossing,4130,QLD,Australia,9,42
Kissiah,Foat,Female,30,11/09/1975,Graphic Designer,n/a,Mass Customer,N,Yes,19,1690 Forster Place,2281,NSW,Australia,9,42
Gardie,Crellim,Male,58,12/09/1975,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,42
Raye,Roo,Female,64,07/03/1976,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,41
Adriane,Richardson,Female,81,10/03/1976,Data Coordiator,Manufacturing,High Net Worth,N,No,9,4 Randy Street,3070,VIC,Australia,8,41
Winnifred,Beswetherick,Female,83,08/06/1976,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,41
Egon,Ortells,Male,35,11/06/1976,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9,41
Madella,Marquiss,Female,51,08/10/1976,VP Marketing,n/a,Affluent Customer,N,No,18,0 Larry Park,3175,VIC,Australia,8,41
Tessa,Friese,Female,89,24/10/1976,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,41
Paxon,Roomes,Male,78,06/11/1976,Information Systems Manager,n/a,High Net Worth,N,Yes,7,3 Express Lane,3021,VIC,Australia,7,41
Katleen,Arnoult,Female,6,24/11/1976,VP Product Management,Manufacturing,Mass Customer,N,Yes,13,540 Farragut Avenue,2066,NSW,Australia,9,41
Nicol,Swinford,Male,65,07/12/1976,VP Marketing,Property,High Net Worth,N,No,16,976 Roxbury Alley,4157,QLD,Australia,7,41
Morganica,Bentke,Female,40,03/01/1977,Marketing Assistant,IT,Affluent Customer,N,Yes,21,19453 Ramsey Point,3067,VIC,Australia,11,40
Maisie,Maddox,Female,27,09/05/1977,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,40
Nicol,Bertot,Female,25,11/09/1977,Financial Advisor,Financial Services,Affluent Customer,N,Yes,18,7 Elgar Hill,3060,VIC,Australia,5,40
Opal,Cleare,Female,6,26/09/1977,Database Administrator II,Property,Affluent Customer,N,Yes,20,247 Blue Bill Park Parkway,2066,NSW,Australia,9,40
Arman,Yakubov,Male,68,07/10/1977,VP Quality Control,Property,High Net Worth,N,Yes,17,11121 Jackson Crossing,2323,NSW,Australia,4,40
Dolley,Starmont,Female,53,08/11/1977,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,40
Wallace,Newart,Male,91,06/12/1977,,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,40
Tabbatha,Averill,Female,5,17/12/1977,Quality Control Specialist,n/a,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,40
Dwayne,Doel,Male,80,21/01/1978,Cost Accountant,Financial Services,Affluent Customer,N,Yes,17,5642 Debs Terrace,2223,NSW,Australia,11,39
Heinrick,Shilstone,Male,60,11/02/1978,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,39
Patricia,Everix,Female,34,19/02/1978,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,39
Joane,Caldes,Female,84,17/03/1978,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,13,42 3rd Plaza,2250,NSW,Australia,7,39
Sherrie,Godleman,Female,37,02/04/1978,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,VIC,Australia,2,39
Zechariah,McReidy,Male,32,22/07/1978,Technical Writer,Manufacturing,High Net Worth,N,No,21,797 Westend Street,4207,QLD,Australia,6,39
Giulia,Hazart,Female,57,02/08/1978,Help Desk Technician,n/a,Mass Customer,N,No,11,81 Donald Parkway,4218,QLD,Australia,11,39
Jethro,Mertel,Male,16,10/12/1978,Software Consultant,Argiculture,Mass Customer,N,Yes,15,3460 Dapin Street,2262,NSW,Australia,6,39
Nobe,McAughtry,Male,25,14/12/1978,,n/a,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,39
Darwin,Bumpas,Male,24,27/12/1978,Junior Executive,Health,Affluent Customer,N,Yes,18,6812 Gina Point,3082,VIC,Australia,7,39
Lanie,Cobbold,Male,57,31/12/1978,Senior Sales Associate,n/a,Mass Customer,N,Yes,9,936 Porter Lane,2323,NSW,Australia,5,39
Cami,Eitter,Female,34,03/01/1979,Professor,Manufacturing,High Net Worth,N,Yes,11,1408 Hovde Circle,3081,VIC,Australia,9,38
Andy,Deeming,Male,79,09/01/1979,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,Yes,7,63386 Talisman Hill,4556,QLD,Australia,8,38
Kort,Disley,Male,66,05/02/1979,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,38
Carolann,Raatz,Female,25,26/02/1979,Chief Design Engineer,n/a,High Net Worth,N,No,21,817 Bunker Hill Place,3977,VIC,Australia,6,38
Anthony,Morison,Male,7,08/06/1938,General Manager,Health,Mass Customer,N,No,12,276 Derek Circle,2759,NSW,Australia,9,79
Zachariah,Meininking,Male,40,09/06/1938,Cost Accountant,Financial Services,Affluent Customer,N,Yes,20,24815 Lindbergh Avenue,2749,NSW,Australia,7,79
Andrea,Pendle,Female,86,05/08/1938,,n/a,High Net Worth,N,Yes,13,31281 Meadow Valley Way,4500,QLD,Australia,6,79
Letizia,Poore,Female,27,30/08/1938,Web Developer II,Manufacturing,Affluent Customer,N,No,15,95796 Mcbride Drive,3677,VIC,Australia,3,79
Alleen,Eaken,Female,56,31/08/1938,,n/a,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,79
Willard,Booton,Male,69,02/09/1938,,Health,High Net Worth,N,Yes,7,05 Ronald Regan Alley,2121,NSW,Australia,9,79
Wyn,Meach,Male,37,10/09/1938,,Manufacturing,Mass Customer,N,No,9,79 Armistice Junction,2765,NSW,Australia,9,79
Franklin,Wohler,Male,55,16/10/1938,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,79
Odilia,Quick,Female,65,09/11/1938,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,79
Kippar,Brimilcome,Male,21,29/11/1938,Graphic Designer,Health,Mass Customer,N,No,19,082 Welch Lane,2089,NSW,Australia,11,79
Beverly,Domnick,Female,56,10/12/1938,Structural Analysis Engineer,IT,Mass Customer,N,No,9,8 Burning Wood Junction,2232,NSW,Australia,10,79
Launce,Gale,Male,86,15/01/1939,,n/a,Mass Customer,N,No,21,4 Fordem Avenue,2777,NSW,Australia,9,78
Devonne,Alderwick,Female,79,29/01/1939,Research Associate,n/a,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,78
Ginger,,Male,94,19/02/1939,Human Resources Manager,n/a,Mass Customer,N,No,11,160 Fremont Point,2259,NSW,Australia,8,78
Tina,Dunstan,Female,13,06/03/1939,Account Representative IV,Retail,Affluent Customer,N,No,13,98555 Victoria Hill,2171,NSW,Australia,7,78
Mariquilla,Springthorpe,Female,30,04/04/1939,Director of Sales,n/a,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,78
Esther,McOnie,Female,59,26/05/1939,Legal Assistant,n/a,Mass Customer,N,No,14,844 Forster Place,2096,NSW,Australia,12,78
Dyann,Olechnowicz,Female,17,17/07/1939,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,78
Augie,Swallwell,Male,42,22/08/1939,,Property,Affluent Customer,N,Yes,13,7 Golden Leaf Avenue,2400,NSW,Australia,2,78
Tamar,Windmill,Female,92,28/08/1939,Senior Editor,Manufacturing,Affluent Customer,N,No,10,4669 Troy Place,2207,NSW,Australia,10,78
Glory,Chilcott,Female,49,09/09/1939,,Telecommunications,High Net Worth,N,No,9,4286 Rowland Circle,4165,QLD,Australia,5,78
Piper,Issacov,Female,67,08/11/1939,Human Resources Assistant III,Health,Affluent Customer,N,Yes,22,52201 Tony Avenue,2088,NSW,Australia,9,78
Jordan,Clampe,Male,37,09/12/1939,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,78
Bessy,Saladin,Female,22,22/12/1939,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,60073 Pankratz Pass,4075,QLD,Australia,10,78
Reynold,Elman,Male,19,18/01/1940,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,77
Georgetta,Lovett,Female,42,02/02/1940,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,77
Wrennie,Dwelly,Female,23,11/03/1940,Operator,Manufacturing,Mass Customer,N,No,18,179 Carey Terrace,3020,VIC,Australia,9,77
Jacklin,Duchant,Female,77,18/03/1940,Legal Assistant,Argiculture,Mass Customer,N,No,17,9 Memorial Road,4132,QLD,Australia,4,77
Boothe,Hayselden,Male,42,18/05/1940,Computer Systems Analyst III,Health,Mass Customer,N,Yes,17,33 Pond Point,2291,NSW,Australia,10,77
Kori,Sparsholt,Female,59,19/05/1940,Office Assistant II,n/a,Mass Customer,N,Yes,19,37 Rigney Park,2171,NSW,Australia,9,77
Austine,Speedy,Female,38,23/05/1940,Software Engineer II,Argiculture,High Net Worth,N,Yes,14,69 Sunfield Terrace,2558,NSW,Australia,8,77
Kellyann,Adshad,Female,62,07/06/1940,,n/a,Mass Customer,N,Yes,22,29 Tennyson Alley,2161,NSW,Australia,9,77
Rolland,Esmead,Male,41,13/07/1940,,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,77
Lisette,Davers,Female,59,26/10/1940,Developer III,Health,High Net Worth,N,No,17,504 Stuart Pass,2130,NSW,Australia,11,77
Ottilie,Wanless,Female,51,10/11/1940,Environmental Specialist,n/a,Affluent Customer,N,No,8,2 David Pass,2720,NSW,Australia,4,77
Otes,Elegood,Male,67,25/11/1940,Programmer III,Financial Services,High Net Worth,N,No,21,2632 Del Mar Point,2226,NSW,Australia,11,77
Alfonso,Massel,Male,70,05/12/1940,,n/a,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,77
Ludvig,Andren,Male,44,22/02/1941,Media Manager III,n/a,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,76
Davide,Senten,Male,22,23/02/1941,Accounting Assistant II,Manufacturing,Mass Customer,N,No,11,23737 Bartillon Street,2171,NSW,Australia,9,76
Essie,Withur,Female,42,26/02/1941,Director of Sales,Financial Services,High Net Worth,N,No,19,539 Graceland Pass,3444,VIC,Australia,7,76
Giralda,MacPeake,Female,59,04/04/1941,Librarian,Entertainment,High Net Worth,N,Yes,14,6 Killdeer Way,2705,NSW,Australia,1,76
Heall,Andrioli,Male,46,17/06/1941,Environmental Tech,IT,Affluent Customer,N,Yes,7,370 Eastwood Road,4133,QLD,Australia,5,76
Cissiee,Pollington,Female,43,21/07/1941,Associate Professor,Property,Mass Customer,N,Yes,7,69710 Northfield Center,2256,NSW,Australia,9,76
Jeno,Strafford,Male,67,21/07/1941,Tax Accountant,Financial Services,High Net Worth,N,No,7,891 Sachtjen Hill,4170,QLD,Australia,9,76
Shanon,Rolfe,Female,63,19/08/1941,Sales Representative,Retail,High Net Worth,N,No,8,10 Cottonwood Point,2530,NSW,Australia,7,76
Leticia,Danovich,Female,84,02/10/1941,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,76
Jenelle,Mc-Kerley,Female,40,23/01/1942,Data Coordiator,Financial Services,Mass Customer,N,Yes,16,9 Springview Terrace,4068,QLD,Australia,5,75
Kaine,Smallcombe,Male,59,06/02/1942,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,75
Margette,Gibard,Female,34,06/07/1942,,Manufacturing,Affluent Customer,N,Yes,9,37068 Montana Street,2011,NSW,Australia,7,75
Estevan,Eastment,Male,54,09/08/1942,Environmental Specialist,Health,Mass Customer,N,Yes,21,61926 Tomscot Hill,2019,NSW,Australia,8,75
Wilfrid,Gertray,Male,1,23/08/1942,Accounting Assistant I,Financial Services,Mass Customer,N,No,16,38407 Sutteridge Circle,2766,NSW,Australia,8,75
Casandra,Betteridge,Female,29,10/09/1942,Cost Accountant,Financial Services,Affluent Customer,N,Yes,9,68 Bluestem Center,3166,VIC,Australia,10,75
Sindee,Jasik,Female,18,21/10/1942,Social Worker,Health,Mass Customer,N,Yes,15,0689 Melby Park,4030,QLD,Australia,9,75
Kahaleel,,Male,5,01/11/1942,GIS Technical Architect,n/a,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,75
Symon,Mawne,Male,18,08/02/1943,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,74
Vyky,Pegg,Female,64,15/03/1943,Quality Control Specialist,Manufacturing,Mass Customer,N,Yes,11,31854 Anniversary Terrace,2322,NSW,Australia,7,74
Celia,Bryden,Female,12,06/04/1943,Chemical Engineer,Manufacturing,High Net Worth,N,No,21,2905 Towne Place,2114,NSW,Australia,9,74
Deborah,Petrovsky,Female,53,14/07/1943,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,74
Haskell,Moxted,Male,81,27/08/1943,Civil Engineer,Manufacturing,Mass Customer,N,No,7,2941 Talisman Alley,2145,NSW,Australia,9,74
Danny,Bodle,Male,50,24/09/1943,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,74
Latrena,Walklate,Female,97,05/10/1943,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,74
Bobby,Summersby,Male,90,27/10/1943,Sales Associate,Financial Services,Affluent Customer,N,No,7,1478 Oak Valley Park,3350,VIC,Australia,2,74
Alanna,Lerway,Female,26,05/01/1944,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,73
Briana,Trill,Female,5,18/03/1944,Health Coach III,Health,High Net Worth,N,No,11,0433 La Follette Road,2137,NSW,Australia,11,73
Darryl,Hovee,Female,2,28/04/1944,Professor,Financial Services,Mass Customer,N,Yes,19,381 Emmet Terrace,2047,NSW,Australia,12,73
Elianora,Poolton,Female,15,14/06/1944,Programmer II,n/a,Mass Customer,N,Yes,21,5 Macpherson Drive,3134,VIC,Australia,9,73
Alexa,Dillet,Female,65,05/10/1944,Product Engineer,Entertainment,Affluent Customer,N,No,17,84650 Novick Point,2261,NSW,Australia,7,73
Delinda,Ech,Female,74,21/10/1944,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,28 Golf View Terrace,3101,VIC,Australia,10,73
Adolpho,Bellerby,Male,46,25/10/1944,VP Sales,Financial Services,High Net Worth,N,Yes,13,2763 Buhler Circle,4305,QLD,Australia,4,73
Brynn,Goodyear,Female,30,10/11/1944,Human Resources Manager,Health,Mass Customer,N,Yes,11,3 Sheridan Lane,3075,VIC,Australia,7,73
Glyn,,Male,47,13/02/1945,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,72
Kylila,Basezzi,Female,94,11/06/1945,Assistant Manager,n/a,Mass Customer,N,Yes,9,64 Armistice Point,4217,QLD,Australia,9,72
Rikki,Chaffey,Male,69,11/06/1945,Chemical Engineer,Manufacturing,Mass Customer,N,No,20,9 Spohn Way,4127,QLD,Australia,1,72
Milty,Brauninger,Male,13,10/07/1945,Payment Adjustment Coordinator,n/a,High Net Worth,N,No,11,54 6th Trail,2640,NSW,Australia,7,72
Kellen,Pawelski,Female,83,26/07/1945,,Manufacturing,High Net Worth,N,Yes,11,125 Manufacturers Parkway,2193,NSW,Australia,8,72
Rourke,Gillbard,Male,11,03/08/1945,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,72
Vitia,Axtens,Female,62,08/08/1945,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,42681 Carey Alley,2011,NSW,Australia,10,72
Jo,Roberts,Female,41,31/10/1945,Paralegal,Financial Services,High Net Worth,N,Yes,11,20139 Lakewood Plaza,2440,NSW,Australia,3,72
Cheston,Hritzko,Male,70,08/11/1945,Software Engineer III,Manufacturing,Mass Customer,N,Yes,19,3 Service Center,2127,NSW,Australia,9,72
Dillon,Bannister,Male,7,24/12/1945,Tax Accountant,n/a,Mass Customer,N,No,11,43 Dayton Drive,2062,NSW,Australia,9,72
Marcelia,Copins,Female,81,15/03/1946,,n/a,Mass Customer,N,Yes,21,330 Melby Terrace,2259,NSW,Australia,8,71
Quillan,Guinane,Male,36,24/03/1946,Community Outreach Specialist,n/a,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,71
Rollo,Louedey,Male,64,09/07/1946,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,71
Barth,Weare,Male,18,22/08/1946,Clinical Specialist,Health,Mass Customer,N,Yes,8,784 Lotheville Court,2541,NSW,Australia,5,71
Colas,Gabbitas,Male,98,09/09/1946,Staff Scientist,Retail,High Net Worth,N,No,20,3094 Elka Place,2166,NSW,Australia,9,71
Griffith,Escot,Male,50,23/10/1946,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,71
Neile,Argent,Female,79,25/10/1946,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,71
Roberta,Goodale,Female,9,28/02/1947,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,70
Marcellina,Baynton,Female,60,11/03/1947,Software Engineer III,Financial Services,Mass Customer,N,No,16,56 Comanche Terrace,3141,VIC,Australia,10,70
Karoly,Burgoine,Male,57,06/04/1947,Account Representative IV,Health,High Net Worth,N,Yes,21,18 Morning Circle,3012,VIC,Australia,2,70
Davidde,Cockroft,Male,70,21/04/1947,Geological Engineer,Manufacturing,High Net Worth,N,No,8,8 Kim Avenue,2158,NSW,Australia,12,70
Taber,Szymon,Male,70,22/04/1947,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,Australia,8,70
Cecily,Faircley,Female,42,12/06/1947,Accountant IV,IT,Affluent Customer,N,Yes,19,8 Bluejay Road,4301,QLD,Australia,1,70
Sherwin,Minocchi,Male,71,13/07/1947,Project Manager,n/a,Mass Customer,N,Yes,11,1 Alpine Crossing,2536,NSW,Australia,8,70
Suzy,Trounson,Female,13,19/07/1947,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,20,0627 Golf Center,4152,QLD,Australia,9,70
Tiphanie,Blackader,Female,59,08/10/1947,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,70
Lucky,Klainman,Female,24,26/11/1947,Chief Design Engineer,Retail,Mass Customer,N,No,8,0796 Barnett Plaza,3758,VIC,Australia,4,70
Juliann,Siemantel,Female,86,15/12/1947,Librarian,Entertainment,Mass Customer,N,No,22,28 Parkside Park,3046,VIC,Australia,8,70
Ross,Vidgen,Male,17,28/12/1947,VP Sales,Retail,Affluent Customer,N,No,12,2874 Bay Hill,4032,QLD,Australia,9,70
Logan,Colomb,Male,74,01/01/1948,Recruiter,n/a,Mass Customer,N,Yes,19,266 Lakewood Terrace,2761,NSW,Australia,8,69
Zondra,Ringham,Female,36,13/01/1948,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,69
Queenie,Learie,Female,90,24/01/1948,,Property,Mass Customer,N,No,12,7 Sauthoff Park,2073,NSW,Australia,11,69
Gilli,Christophers,Female,70,02/03/1948,Database Administrator IV,Property,Affluent Customer,N,Yes,17,53870 Jay Pass,4575,QLD,Australia,9,69
Fara,Sarath,Female,75,30/06/1948,Quality Control Specialist,n/a,Mass Customer,N,No,22,540 Forest Run Plaza,2168,NSW,Australia,7,69
Ricki,Padefield,Male,43,03/08/1948,Automation Specialist III,Manufacturing,Affluent Customer,N,Yes,13,860 Barby Lane,4275,QLD,Australia,9,69
Corrine,Baribal,Female,19,12/10/1948,Senior Sales Associate,n/a,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,69
